Starting run from scratch
0,train,0.11392329142378947,0.765635859824159,0.7431738063386015,0.781801728215269,4300.968859910965,7460,0,0,20
0,val,0.05728256374518218,0.8699967658682893,0.8504556439487018,0.8825115632392555,225.87402272224426,1288,0,0,20
1,train,0.053452102620224526,0.8840068004468098,0.863060755039581,0.8974793905575108,4002.9187128543854,7460,0,0,20
1,val,0.04589295151539214,0.8989648007940587,0.8832710608134994,0.9089980109458611,230.9276728630066,1288,0,0,20
2,train,0.046056758853273476,0.8988063432902201,0.8797662180878137,0.9106938114553371,10986.214022874832,7460,0,0,20
2,val,0.047082882203111666,0.9018066572614681,0.8771356190312414,0.917792751924572,4191.773699045181,1288,0,0,20
3,train,0.04420760780297321,0.9027119703400044,0.8838919763659205,0.9144206715015208,26183.88508629799,7460,0,0,20
3,val,0.042518539624547214,0.9057551809786006,0.8936961317890428,0.9135741027144053,221.70884013175964,1288,0,0,20
Resuming from epoch 4
4,train,0.04163812264875894,0.9077757704836577,0.8901789815619914,0.9186597605308972,4454.618499994278,7460,0,0,20
4,val,0.040880752495296525,0.9119341555928621,0.890354110080071,0.9259617868642083,226.75404000282288,1288,0 ,0,20
5,train,0.041068724951441704,0.9087357567090516,0.8911019108851127,0.9196539636518468,3784.638238430023,7460,0,0,20
5,val,0.040035424478487125,0.9092834644420346,0.8973875111547462,0.9168386823593391,216.3987500667572,1288,0,0,20
Resuming from epoch 6
6,train,0.039426882107722105,0.912322905709135,0.8954324423908028,0.9227530305025738,3995.0266020298004,7460,0,0,20
6,val,0.039111650659491286,0.9153717840288272,0.8955432930978205,0.9281850834621244,229.72750091552734,1288,0,0,20
7,train,0.03933525320776197,0.9122924968022895,0.8952279769599868,0.9228438930256895,4035.136979341507,7460,0,0,20
7,val,0.03847429461919819,0.9138793787179431,0.9011512471206067,0.9219789808029717,226.35018110275269,1288,0,0,20
